"X","Number.of.Homicide.Convictions","Percentage.of.Homicide.Convictions","Number.of.Homicide.Unsuccessful","Percentage.of.Homicide.Unsuccessful","Number.of.Offences.Against.The.Person.Convictions","Percentage.of.Offences.Against.The.Person.Convictions","Number.of.Offences.Against.The.Person.Unsuccessful","Percentage.of.Offences.Against.The.Person.Unsuccessful","Number.of.Sexual.Offences.Convictions","Percentage.of.Sexual.Offences.Convictions","Number.of.Sexual.Offences.Unsuccessful","Percentage.of.Sexual.Offences.Unsuccessful","Number.of.Burglary.Convictions","Percentage.of.Burglary.Convictions","Number.of.Burglary.Unsuccessful","Percentage.of.Burglary.Unsuccessful","Number.of.Robbery.Convictions","Percentage.of.Robbery.Convictions","Number.of.Robbery.Unsuccessful","Percentage.of.Robbery.Unsuccessful","Number.of.Theft.And.Handling.Convictions","Percentage.of.Theft.And.Handling.Convictions","Number.of.Theft.And.Handling.Unsuccessful","Percentage.of.Theft.And.Handling.Unsuccessful","Number.of.Fraud.And.Forgery.Convictions","Percentage.of.Fraud.And.Forgery.Convictions","Number.of.Fraud.And.Forgery.Unsuccessful","Percentage.of.Fraud.And.Forgery.Unsuccessful","Number.of.Criminal.Damage.Convictions","Percentage.of.Criminal.Damage.Convictions","Number.of.Criminal.Damage.Unsuccessful","Percentage.of.Criminal.Damage.Unsuccessful","Number.of.Drugs.Offences.Convictions","Percentage.of.Drugs.Offences.Convictions","Number.of.Drugs.Offences.Unsuccessful","Percentage.of.Drugs.Offences.Unsuccessful","Number.of.Public.Order.Offences.Convictions","Percentage.of.Public.Order.Offences.Convictions","Number.of.Public.Order.Offences.Unsuccessful","Percentage.of.Public.Order.Offences.Unsuccessful","Number.of.All.Other.Offences..excluding.Motoring..Convictions","Percentage.of.All.Other.Offences..excluding.Motoring..Convictions","Number.of.All.Other.Offences..excluding.Motoring..Unsuccessful","Percentage.of.All.Other.Offences..excluding.Motoring..Unsuccessful","Number.of.Motoring.Offences.Convictions","Percentage.of.Motoring.Offences.Convictions","Number.of.Motoring.Offences.Unsuccessful","Percentage.of.Motoring.Offences.Unsuccessful","Number.of.Admin.Finalised.Unsuccessful","Percentage.of.L.Motoring.Offences.Unsuccessful","year","month"
"Hampshire",0,"-",0,"-","348","78.7%","94","21.3%","38","79.2%",10,"20.8%","29","87.9%",4,"12.1%",10,"100.0%",0,"0.0%","318","89.6%","37","10.4%","29","85.3%",5,"14.7%","71","89.9%",8,"10.1%","126","92.0%",11,"8.0%","126","85.1%",22,"14.9%","21","80.8%",5,"19.2%","262","85.6%","44","14.4%","35","100.0%","2015","january"
"Hertfordshire",0,"-",0,"-","186","75.9%","59","24.1%","9","90.0%",1,"10.0%","19","67.9%",9,"32.1%",11,"68.8%",5,"31.3%","159","90.9%","16","9.1%","23","82.1%",5,"17.9%","43","86.0%",7,"14.0%","81","91.0%",8,"9.0%","62","87.3%",9,"12.7%","11","68.8%",5,"31.3%","167","86.5%","26","13.5%","15","100.0%","2015","january"
"Humberside",1,"25.0%",3,"75.0%","193","83.9%","37","16.1%","42","80.8%",10,"19.2%","22","78.6%",6,"21.4%",5,"83.3%",1,"16.7%","222","94.5%","13","5.5%","16","88.9%",2,"11.1%","50","80.6%",12,"19.4%","67","97.1%",2,"2.9%","99","89.2%",12,"10.8%","22","91.7%",2,"8.3%","133","87.5%","19","12.5%","9","100.0%","2015","january"
"Kent",2,"100.0%",0,"0.0%","231","70.2%","98","29.8%","25","75.8%",8,"24.2%","37","88.1%",5,"11.9%",10,"83.3%",2,"16.7%","257","86.8%","39","13.2%","13","72.2%",5,"27.8%","71","76.3%",22,"23.7%","105","93.8%",7,"6.3%","82","80.4%",20,"19.6%","69","75.0%",23,"25.0%","192","83.5%","38","16.5%","49","100.0%","2015","january"
"Lancashire",0,"-",0,"-","283","78.4%","78","21.6%","29","85.3%",5,"14.7%","73","81.1%",17,"18.9%",33,"86.8%",5,"13.2%","243","93.1%","18","6.9%","22","84.6%",4,"15.4%","95","85.6%",16,"14.4%","106","97.2%",3,"2.8%","156","88.6%",20,"11.4%","89","88.1%",12,"11.9%","270","89.1%","33","10.9%","16","100.0%","2015","january"
"Leicestershire",1,"100.0%",0,"0.0%","160","77.3%","47","22.7%","20","83.3%",4,"16.7%","21","77.8%",6,"22.2%",11,"84.6%",2,"15.4%","195","92.9%","15","7.1%","14","77.8%",4,"22.2%","35","87.5%",5,"12.5%","39","90.7%",4,"9.3%","56","88.9%",7,"11.1%","25","86.2%",4,"13.8%","122","86.5%","19","13.5%","3","100.0%","2015","january"
"Lincolnshire",1,"100.0%",0,"0.0%","98","81.0%","23","19.0%","6","85.7%",1,"14.3%","20","90.9%",2,"9.1%",5,"100.0%",0,"0.0%","145","92.4%","12","7.6%","3","75.0%",1,"25.0%","28","93.3%",2,"6.7%","29","93.5%",2,"6.5%","64","92.8%",5,"7.2%","8","61.5%",5,"38.5%","133","89.9%","15","10.1%","7","100.0%","2015","january"
"Merseyside",3,"100.0%",0,"0.0%","284","75.1%","94","24.9%","26","83.9%",5,"16.1%","46","97.9%",1,"2.1%",22,"81.5%",5,"18.5%","276","93.2%","20","6.8%","13","86.7%",2,"13.3%","66","78.6%",18,"21.4%","265","95.3%",13,"4.7%","126","91.3%",12,"8.7%","97","82.9%",20,"17.1%","200","92.2%","17","7.8%","23","100.0%","2015","january"
"Metropolitan and City",9,"50.0%",9,"50.0%","1,382","67.6%","662","32.4%","130","67.4%",63,"32.6%","228","78.9%",61,"21.1%",134,"69.1%",60,"30.9%","1,210","89.4%","143","10.6%","203","79.9%",51,"20.1%","309","84.0%",59,"16.0%","1,040","93.2%",76,"6.8%","568","82.4%",121,"17.6%","478","79.9%",120,"20.1%","1,238","78.5%","339","21.5%","211","100.0%","2015","january"
"Norfolk",0,"-",0,"-","205","78.8%","55","21.2%","11","84.6%",2,"15.4%","12","92.3%",1,"7.7%",3,"100.0%",0,"0.0%","149","87.6%","21","12.4%","11","78.6%",3,"21.4%","57","85.1%",10,"14.9%","71","100.0%",0,"0.0%","92","88.5%",12,"11.5%","13","56.5%",10,"43.5%","115","86.5%","18","13.5%","11","100.0%","2015","january"
"Northamptonshire",0,"-",0,"-","90","64.3%","50","35.7%","13","81.3%",3,"18.8%","10","71.4%",4,"28.6%",5,"55.6%",4,"44.4%","117","91.4%","11","8.6%","4","80.0%",1,"20.0%","14","58.3%",10,"41.7%","47","92.2%",4,"7.8%","41","85.4%",7,"14.6%","10","76.9%",3,"23.1%","88","85.4%","15","14.6%","10","100.0%","2015","january"
"Northumbria",2,"100.0%",0,"0.0%","255","67.5%","123","32.5%","17","60.7%",11,"39.3%","34","89.5%",4,"10.5%",4,"80.0%",1,"20.0%","439","87.6%","62","12.4%","20","90.9%",2,"9.1%","100","77.5%",29,"22.5%","94","84.7%",17,"15.3%","195","82.3%",42,"17.7%","61","67.8%",29,"32.2%","186","71.3%","75","28.7%","24","100.0%","2015","january"
"North Wales",0,"-",0,"-","137","77.4%","40","22.6%","14","66.7%",7,"33.3%","17","94.4%",1,"5.6%",3,"100.0%",0,"0.0%","133","95.7%","6","4.3%","6","100.0%",0,"0.0%","50","94.3%",3,"5.7%","26","96.3%",1,"3.7%","94","95.9%",4,"4.1%","13","86.7%",2,"13.3%","110","92.4%","9","7.6%","2","100.0%","2015","january"
"North Yorkshire",1,"100.0%",0,"0.0%","110","81.5%","25","18.5%","7","100.0%",0,"0.0%","8","61.5%",5,"38.5%",2,"100.0%",0,"0.0%","129","90.2%","14","9.8%","8","100.0%",0,"0.0%","32","86.5%",5,"13.5%","33","94.3%",2,"5.7%","78","87.6%",11,"12.4%","18","72.0%",7,"28.0%","110","90.9%","11","9.1%","8","100.0%","2015","january"
"Nottinghamshire",0,"-",0,"-","237","79.8%","60","20.2%","14","82.4%",3,"17.6%","29","80.6%",7,"19.4%",4,"33.3%",8,"66.7%","235","92.9%","18","7.1%","12","92.3%",1,"7.7%","60","88.2%",8,"11.8%","98","95.1%",5,"4.9%","64","82.1%",14,"17.9%","38","82.6%",8,"17.4%","151","88.8%","19","11.2%","19","100.0%","2015","january"
"South Wales",0,"-",0,"-","326","73.3%","119","26.7%","18","69.2%",8,"30.8%","60","92.3%",5,"7.7%",8,"100.0%",0,"0.0%","305","94.1%","19","5.9%","16","88.9%",2,"11.1%","100","86.2%",16,"13.8%","198","96.1%",8,"3.9%","217","83.5%",43,"16.5%","13","81.3%",3,"18.8%","771","92.8%","60","7.2%","26","100.0%","2015","january"
"South Yorkshire",2,"100.0%",0,"0.0%","204","70.8%","84","29.2%","7","70.0%",3,"30.0%","32","78.0%",9,"22.0%",12,"92.3%",1,"7.7%","346","97.2%","10","2.8%","9","100.0%",0,"0.0%","66","91.7%",6,"8.3%","103","92.8%",8,"7.2%","115","94.3%",7,"5.7%","49","89.1%",6,"10.9%","166","89.2%","20","10.8%","23","100.0%","2015","january"
"Staffordshire",0,"-",0,"-","181","72.1%","70","27.9%","16","69.6%",7,"30.4%","30","78.9%",8,"21.1%",6,"66.7%",3,"33.3%","198","90.4%","21","9.6%","12","92.3%",1,"7.7%","45","88.2%",6,"11.8%","71","85.5%",12,"14.5%","71","74.0%",25,"26.0%","37","92.5%",3,"7.5%","146","81.6%","33","18.4%","3","100.0%","2015","january"
"Suffolk",1,"100.0%",0,"0.0%","158","87.3%","23","12.7%","9","64.3%",5,"35.7%","11","84.6%",2,"15.4%",4,"100.0%",0,"0.0%","98","95.1%","5","4.9%","6","100.0%",0,"0.0%","33","84.6%",6,"15.4%","43","95.6%",2,"4.4%","57","89.1%",7,"10.9%","14","93.3%",1,"6.7%","96","85.7%","16","14.3%","4","100.0%","2015","january"
"Surrey",0,"-",0,"-","117","71.8%","46","28.2%","6","42.9%",8,"57.1%","24","88.9%",3,"11.1%",3,"100.0%",0,"0.0%","99","84.6%","18","15.4%","6","66.7%",3,"33.3%","25","78.1%",7,"21.9%","52","98.1%",1,"1.9%","44","89.8%",5,"10.2%","41","67.2%",20,"32.8%","160","89.4%","19","10.6%","11","100.0%","2015","january"
"Sussex",0,"-",0,"-","206","73.6%","74","26.4%","22","66.7%",11,"33.3%","21","80.8%",5,"19.2%",6,"100.0%",0,"0.0%","243","93.5%","17","6.5%","19","95.0%",1,"5.0%","56","86.2%",9,"13.8%","111","92.5%",9,"7.5%","65","76.5%",20,"23.5%","60","72.3%",23,"27.7%","231","90.6%","24","9.4%","48","100.0%","2015","january"
"Thames Valley",0,"-",0,"-","334","69.7%","145","30.3%","32","60.4%",21,"39.6%","29","72.5%",11,"27.5%",17,"77.3%",5,"22.7%","319","90.4%","34","9.6%","28","96.6%",1,"3.4%","62","84.9%",11,"15.1%","145","92.4%",12,"7.6%","138","82.1%",30,"17.9%","20","69.0%",9,"31.0%","296","85.3%","51","14.7%","30","100.0%","2015","january"
"Warwickshire",0,"-",0,"-","59","80.8%","14","19.2%","3","100.0%",0,"0.0%","10","71.4%",4,"28.6%",5,"71.4%",2,"28.6%","64","87.7%","9","12.3%","1","100.0%",0,"0.0%","28","93.3%",2,"6.7%","14","93.3%",1,"6.7%","24","85.7%",4,"14.3%","26","83.9%",5,"16.1%","81","78.6%","22","21.4%","3","100.0%","2015","january"
"West Mercia",1,"100.0%",0,"0.0%","172","74.1%","60","25.9%","27","79.4%",7,"20.6%","17","94.4%",1,"5.6%",7,"100.0%",0,"0.0%","167","92.3%","14","7.7%","4","80.0%",1,"20.0%","31","83.8%",6,"16.2%","62","96.9%",2,"3.1%","82","86.3%",13,"13.7%","34","91.9%",3,"8.1%","164","88.2%","22","11.8%","1","100.0%","2015","january"
"West Midlands",1,"50.0%",1,"50.0%","500","72.0%","194","28.0%","35","72.9%",13,"27.1%","95","76.0%",30,"24.0%",49,"77.8%",14,"22.2%","567","90.9%","57","9.1%","27","84.4%",5,"15.6%","117","84.2%",22,"15.8%","187","89.0%",23,"11.0%","159","85.9%",26,"14.1%","128","85.3%",22,"14.7%","349","83.9%","67","16.1%","53","100.0%","2015","january"
"West Yorkshire",7,"100.0%",0,"0.0%","417","75.5%","135","24.5%","55","74.3%",19,"25.7%","123","92.5%",10,"7.5%",32,"94.1%",2,"5.9%","395","90.6%","41","9.4%","27","79.4%",7,"20.6%","109","79.0%",29,"21.0%","106","93.0%",8,"7.0%","140","79.5%",36,"20.5%","58","84.1%",11,"15.9%","314","78.3%","87","21.7%","25","100.0%","2015","january"
"Wiltshire",0,"-",0,"-","101","86.3%","16","13.7%","4","80.0%",1,"20.0%","6","100.0%",0,"0.0%",2,"100.0%",0,"0.0%","88","91.7%","8","8.3%","4","80.0%",1,"20.0%","21","87.5%",3,"12.5%","20","95.2%",1,"4.8%","33","75.0%",11,"25.0%","5","100.0%",0,"0.0%","63","88.7%","8","11.3%","6","100.0%","2015","january"
"National",76,"82.6%",16,"17.4%","10,958","75.5%","3,547","24.5%","981","69.2%",437,"30.8%","1,430","83.2%",288,"16.8%",446,"75.6%",144,"24.4%","9,248","91.4%","866","8.6%","822","84.6%",150,"15.4%","2,530","84.9%",449,"15.1%","4,402","93.7%",294,"6.3%","3,875","84.2%",725,"15.8%","1,700","81.5%",387,"18.5%","8,936","84.9%","1,585","15.1%","1,051","100.0%","2015","july"
"Avon and Somerset",7,"100.0%",0,"0.0%","300","77.1%","89","22.9%","52","74.3%",18,"25.7%","30","96.8%",1,"3.2%",8,"88.9%",1,"11.1%","246","93.9%","16","6.1%","18","85.7%",3,"14.3%","81","88.0%",11,"12.0%","121","91.0%",12,"9.0%","98","83.8%",19,"16.2%","52","77.6%",15,"22.4%","196","83.1%","40","16.9%","24","100.0%","2015","july"
"Bedfordshire",0,"-",0,"-","93","78.2%","26","21.8%","4","57.1%",3,"42.9%","16","88.9%",2,"11.1%",5,"100.0%",0,"0.0%","89","94.7%","5","5.3%","23","95.8%",1,"4.2%","29","82.9%",6,"17.1%","32","91.4%",3,"8.6%","31","77.5%",9,"22.5%","8","50.0%",8,"50.0%","72","91.1%","7","8.9%","21","100.0%","2015","july"
"Cambridgeshire",0,"-",0,"-","154","83.7%","30","16.3%","12","85.7%",2,"14.3%","12","80.0%",3,"20.0%",7,"58.3%",5,"41.7%","87","89.7%","10","10.3%","7","87.5%",1,"12.5%","40","87.0%",6,"13.0%","58","95.1%",3,"4.9%","19","86.4%",3,"13.6%","17","70.8%",7,"29.2%","103","92.8%","8","7.2%","20","100.0%","2015","july"
"Cheshire",1,"100.0%",0,"0.0%","262","85.6%","44","14.4%","27","90.0%",3,"10.0%","26","86.7%",4,"13.3%",3,"75.0%",1,"25.0%","187","93.5%","13","6.5%","14","93.3%",1,"6.7%","62","92.5%",5,"7.5%","80","97.6%",2,"2.4%","72","83.7%",14,"16.3%","22","81.5%",5,"18.5%","143","90.5%","15","9.5%","8","100.0%","2015","july"
"Cleveland",0,"-",0,"-","120","75.0%","40","25.0%","10","58.8%",7,"41.2%","36","90.0%",4,"10.0%",14,"82.4%",3,"17.6%","243","93.5%","17","6.5%","12","100.0%",0,"0.0%","51","82.3%",11,"17.7%","41","95.3%",2,"4.7%","80","77.7%",23,"22.3%","9","56.3%",7,"43.8%","68","91.9%","6","8.1%","6","100.0%","2015","july"
"Cumbria",0,"-",0,"-","117","86.7%","18","13.3%","7","87.5%",1,"12.5%","16","88.9%",2,"11.1%",3,"100.0%",0,"0.0%","81","93.1%","6","6.9%","14","93.3%",1,"6.7%","42","97.7%",1,"2.3%","45","91.8%",4,"8.2%","16","88.9%",2,"11.1%","42","93.3%",3,"6.7%","89","85.6%","15","14.4%","2","100.0%","2015","july"
"Derbyshire",0,"-",0,"-","198","77.0%","59","23.0%","26","89.7%",3,"10.3%","28","93.3%",2,"6.7%",10,"76.9%",3,"23.1%","141","87.0%","21","13.0%","11","73.3%",4,"26.7%","52","83.9%",10,"16.1%","71","93.4%",5,"6.6%","85","88.5%",11,"11.5%","14","70.0%",6,"30.0%","110","83.3%","22","16.7%","16","100.0%","2015","july"
"Devon and Cornwall",0,"-",0,"-","185","77.7%","53","22.3%","12","92.3%",1,"7.7%","20","100.0%",0,"0.0%",0,"0",0,"0","148","94.3%","9","5.7%","9","81.8%",2,"18.2%","61","91.0%",6,"9.0%","64","95.5%",3,"4.5%","54","77.1%",16,"22.9%","71","81.6%",16,"18.4%","249","91.9%","22","8.1%","20","100.0%","2015","july"
"Dorset",0,"-",0,"-","149","78.4%","41","21.6%","13","72.2%",5,"27.8%","10","76.9%",3,"23.1%",2,"100.0%",0,"0.0%","137","95.8%","6","4.2%","10","100.0%",0,"0.0%","26","83.9%",5,"16.1%","51","96.2%",2,"3.8%","62","89.9%",7,"10.1%","4","80.0%",1,"20.0%","90","87.4%","13","12.6%","15","100.0%","2015","july"
"Durham",1,"100.0%",0,"0.0%","106","73.1%","39","26.9%","6","37.5%",10,"62.5%","19","90.5%",2,"9.5%",2,"100.0%",0,"0.0%","98","88.3%","13","11.7%","8","88.9%",1,"11.1%","35","81.4%",8,"18.6%","16","100.0%",0,"0.0%","57","91.9%",5,"8.1%","11","84.6%",2,"15.4%","86","93.5%","6","6.5%","3","100.0%","2015","july"
"Dyfed Powys",0,"-",0,"-","95","70.4%","40","29.6%","9","56.3%",7,"43.8%","7","77.8%",2,"22.2%",0,"0",0,"0","59","96.7%","2","3.3%","5","83.3%",1,"16.7%","27","84.4%",5,"15.6%","81","95.3%",4,"4.7%","33","86.8%",5,"13.2%","3","75.0%",1,"25.0%","87","80.6%","21","19.4%","9","100.0%","2015","july"
"Essex",4,"100.0%",0,"0.0%","293","70.4%","123","29.6%","45","72.6%",17,"27.4%","37","78.7%",10,"21.3%",24,"66.7%",12,"33.3%","206","92.8%","16","7.2%","34","87.2%",5,"12.8%","63","86.3%",10,"13.7%","81","90.0%",9,"10.0%","49","89.1%",6,"10.9%","30","69.8%",13,"30.2%","236","77.1%","70","22.9%","41","100.0%","2015","july"
"Gloucestershire",0,"-",0,"-","68","70.8%","28","29.2%","4","100.0%",0,"0.0%","11","91.7%",1,"8.3%",5,"100.0%",0,"0.0%","84","95.5%","4","4.5%","3","100.0%",0,"0.0%","28","84.8%",5,"15.2%","24","96.0%",1,"4.0%","15","88.2%",2,"11.8%","13","76.5%",4,"23.5%","55","94.8%","3","5.2%","7","100.0%","2015","july"
"GreaterManchester",2,"66.7%",1,"33.3%","690","80.5%","167","19.5%","60","63.2%",35,"36.8%","73","92.4%",6,"7.6%",41,"85.4%",7,"14.6%","403","92.4%","33","7.6%","37","88.1%",5,"11.9%","142","85.5%",24,"14.5%","175","90.2%",19,"9.8%","275","85.1%",48,"14.9%","102","87.2%",15,"12.8%","485","85.7%","81","14.3%","34","100.0%","2015","july"
"Gwent",2,"100.0%",0,"0.0%","141","76.6%","43","23.4%","6","75.0%",2,"25.0%","13","59.1%",9,"40.9%",4,"80.0%",1,"20.0%","112","94.9%","6","5.1%","6","75.0%",2,"25.0%","40","83.3%",8,"16.7%","56","90.3%",6,"9.7%","40","85.1%",7,"14.9%","7","46.7%",8,"53.3%","99","93.4%","7","6.6%","6","100.0%","2015","july"
"Hampshire",3,"100.0%",0,"0.0%","323","80.8%","77","19.3%","33","67.3%",16,"32.7%","41","89.1%",5,"10.9%",2,"28.6%",5,"71.4%","264","91.0%","26","9.0%","23","88.5%",3,"11.5%","57","83.8%",11,"16.2%","97","96.0%",4,"4.0%","114","88.4%",15,"11.6%","13","61.9%",8,"38.1%","267","85.3%","46","14.7%","20","100.0%","2015","july"
"Hertfordshire",1,"100.0%",0,"0.0%","176","76.9%","53","23.1%","7","77.8%",2,"22.2%","28","84.8%",5,"15.2%",15,"83.3%",3,"16.7%","192","91.0%","19","9.0%","9","75.0%",3,"25.0%","19","55.9%",15,"44.1%","71","92.2%",6,"7.8%","47","81.0%",11,"19.0%","25","80.6%",6,"19.4%","166","85.1%","29","14.9%","39","100.0%","2015","july"
"Humberside",2,"100.0%",0,"0.0%","180","86.1%","29","13.9%","36","76.6%",11,"23.4%","28","96.6%",1,"3.4%",1,"50.0%",1,"50.0%","174","94.1%","11","5.9%","13","76.5%",4,"23.5%","44","100.0%",0,"0.0%","54","94.7%",3,"5.3%","74","89.2%",9,"10.8%","19","95.0%",1,"5.0%","130","85.0%","23","15.0%","13","100.0%","2015","july"
"Kent",1,"50.0%",1,"50.0%","260","72.2%","100","27.8%","23","60.5%",15,"39.5%","58","82.9%",12,"17.1%",9,"56.3%",7,"43.8%","273","86.1%","44","13.9%","29","87.9%",4,"12.1%","65","84.4%",12,"15.6%","122","94.6%",7,"5.4%","75","85.2%",13,"14.8%","45","71.4%",18,"28.6%","215","89.2%","26","10.8%","29","100.0%","2015","july"
"Lancashire",4,"80.0%",1,"20.0%","323","83.0%","66","17.0%","30","68.2%",14,"31.8%","60","69.0%",27,"31.0%",12,"80.0%",3,"20.0%","281","92.7%","22","7.3%","14","77.8%",4,"22.2%","97","85.1%",17,"14.9%","132","98.5%",2,"1.5%","115","85.8%",19,"14.2%","118","88.1%",16,"11.9%","263","86.8%","40","13.2%","13","100.0%","2015","july"
"Leicestershire",2,"100.0%",0,"0.0%","126","76.8%","38","23.2%","15","68.2%",7,"31.8%","6","50.0%",6,"50.0%",0,"0.0%",1,"100.0%","73","90.1%","8","9.9%","7","100.0%",0,"0.0%","14","60.9%",9,"39.1%","14","77.8%",4,"22.2%","27","93.1%",2,"6.9%","9","81.8%",2,"18.2%","86","78.9%","23","21.1%","15","100.0%","2015","july"
"Lincolnshire",2,"100.0%",0,"0.0%","112","75.7%","36","24.3%","8","72.7%",3,"27.3%","20","95.2%",1,"4.8%",0,"0.0%",2,"100.0%","143","97.9%","3","2.1%","6","75.0%",2,"25.0%","37","90.2%",4,"9.8%","28","90.3%",3,"9.7%","73","92.4%",6,"7.6%","9","40.9%",13,"59.1%","145","88.4%","19","11.6%","14","100.0%","2015","july"
"Merseyside",4,"80.0%",1,"20.0%","347","80.7%","83","19.3%","21","67.7%",10,"32.3%","26","86.7%",4,"13.3%",12,"92.3%",1,"7.7%","219","94.4%","13","5.6%","19","76.0%",6,"24.0%","67","90.5%",7,"9.5%","219","96.9%",7,"3.1%","118","88.1%",16,"11.9%","34","87.2%",5,"12.8%","218","89.7%","25","10.3%","15","100.0%","2015","july"
"Metropolitan and City",14,"87.5%",2,"12.5%","1,625","66.4%","823","33.6%","144","62.1%",88,"37.9%","261","78.4%",72,"21.6%",121,"68.4%",56,"31.6%","1,257","85.9%","206","14.1%","224","82.4%",48,"17.6%","400","83.9%",77,"16.1%","1,094","92.2%",93,"7.8%","529","78.8%",142,"21.2%","455","80.8%",108,"19.2%","1,483","76.5%","456","23.5%","287","100.0%","2015","july"
"Norfolk",0,"-",0,"-","174","75.7%","56","24.3%","8","88.9%",1,"11.1%","17","89.5%",2,"10.5%",5,"83.3%",1,"16.7%","126","94.7%","7","5.3%","4","80.0%",1,"20.0%","44","80.0%",11,"20.0%","53","93.0%",4,"7.0%","92","90.2%",10,"9.8%","17","89.5%",2,"10.5%","116","89.2%","14","10.8%","5","100.0%","2015","july"
"Northamptonshire",0,"-",0,"-","79","71.2%","32","28.8%","10","71.4%",4,"28.6%","8","66.7%",4,"33.3%",1,"50.0%",1,"50.0%","71","91.0%","7","9.0%","5","100.0%",0,"0.0%","18","78.3%",5,"21.7%","26","86.7%",4,"13.3%","31","81.6%",7,"18.4%","4","66.7%",2,"33.3%","99","86.1%","16","13.9%","17","100.0%","2015","july"
"Northumbria",1,"100.0%",0,"0.0%","306","71.8%","120","28.2%","19","57.6%",14,"42.4%","62","92.5%",5,"7.5%",11,"100.0%",0,"0.0%","441","89.6%","51","10.4%","18","64.3%",10,"35.7%","125","81.2%",29,"18.8%","98","95.1%",5,"4.9%","226","81.3%",52,"18.7%","50","84.7%",9,"15.3%","281","84.9%","50","15.1%","21","100.0%","2015","july"
"North Wales",3,"100.0%",0,"0.0%","178","75.7%","57","24.3%","12","66.7%",6,"33.3%","23","79.3%",6,"20.7%",0,"0.0%",3,"100.0%","146","94.2%","9","5.8%","17","89.5%",2,"10.5%","48","84.2%",9,"15.8%","46","93.9%",3,"6.1%","58","87.9%",8,"12.1%","10","90.9%",1,"9.1%","118","86.8%","18","13.2%","4","100.0%","2015","july"
"North Yorkshire",1,"100.0%",0,"0.0%","123","83.7%","24","16.3%","12","92.3%",1,"7.7%","19","90.5%",2,"9.5%",1,"50.0%",1,"50.0%","141","94.0%","9","6.0%","12","92.3%",1,"7.7%","37","86.0%",6,"14.0%","59","96.7%",2,"3.3%","98","93.3%",7,"6.7%","15","100.0%",0,"0.0%","127","89.4%","15","10.6%","6","100.0%","2015","july"
"Nottinghamshire",3,"60.0%",2,"40.0%","274","75.7%","88","24.3%","15","83.3%",3,"16.7%","39","83.0%",8,"17.0%",7,"77.8%",2,"22.2%","226","90.4%","24","9.6%","20","90.9%",2,"9.1%","53","82.8%",11,"17.2%","102","97.1%",3,"2.9%","94","67.1%",46,"32.9%","41","64.1%",23,"35.9%","158","90.8%","16","9.2%","22","100.0%","2015","july"
"South Wales",2,"100.0%",0,"0.0%","396","74.0%","139","26.0%","28","62.2%",17,"37.8%","51","86.4%",8,"13.6%",9,"81.8%",2,"18.2%","313","93.2%","23","6.8%","14","70.0%",6,"30.0%","64","86.5%",10,"13.5%","221","96.1%",9,"3.9%","170","85.9%",28,"14.1%","16","88.9%",2,"11.1%","720","93.3%","52","6.7%","18","100.0%","2015","july"
"South Yorkshire",2,"50.0%",2,"50.0%","262","80.1%","65","19.9%","5","62.5%",3,"37.5%","38","95.0%",2,"5.0%",11,"100.0%",0,"0.0%","317","93.8%","21","6.2%","19","95.0%",1,"5.0%","58","90.6%",6,"9.4%","116","95.9%",5,"4.1%","100","88.5%",13,"11.5%","30","88.2%",4,"11.8%","165","84.6%","30","15.4%","14","100.0%","2015","july"
"Staffordshire",2,"66.7%",1,"33.3%","195","78.3%","54","21.7%","23","82.1%",5,"17.9%","35","81.4%",8,"18.6%",3,"75.0%",1,"25.0%","181","93.3%","13","6.7%","8","61.5%",5,"38.5%","45","91.8%",4,"8.2%","73","92.4%",6,"7.6%","56","88.9%",7,"11.1%","55","90.2%",6,"9.8%","153","78.1%","43","21.9%","31","100.0%","2015","july"
"Suffolk",0,"-",0,"-","124","76.1%","39","23.9%","5","100.0%",0,"0.0%","10","76.9%",3,"23.1%",1,"100.0%",0,"0.0%","78","90.7%","8","9.3%","7","87.5%",1,"12.5%","26","86.7%",4,"13.3%","37","97.4%",1,"2.6%","36","87.8%",5,"12.2%","7","77.8%",2,"22.2%","90","84.9%","16","15.1%","4","100.0%","2015","july"
"Surrey",0,"-",0,"-","195","72.8%","73","27.2%","11","55.0%",9,"45.0%","10","90.9%",1,"9.1%",4,"100.0%",0,"0.0%","84","91.3%","8","8.7%","11","84.6%",2,"15.4%","14","82.4%",3,"17.6%","55","93.2%",4,"6.8%","43","87.8%",6,"12.2%","18","85.7%",3,"14.3%","168","88.0%","23","12.0%","12","100.0%","2015","july"
"Sussex",0,"-",0,"-","276","75.2%","91","24.8%","39","78.0%",11,"22.0%","24","80.0%",6,"20.0%",7,"70.0%",3,"30.0%","206","89.6%","24","10.4%","18","90.0%",2,"10.0%","51","86.4%",8,"13.6%","94","94.9%",5,"5.1%","91","78.4%",25,"21.6%","25","83.3%",5,"16.7%","258","90.8%","26","9.2%","23","100.0%","2015","july"
"Thames Valley",2,"66.7%",1,"33.3%","373","77.4%","109","22.6%","48","60.0%",32,"40.0%","26","70.3%",11,"29.7%",9,"69.2%",4,"30.8%","313","91.8%","28","8.2%","31","83.8%",6,"16.2%","64","86.5%",10,"13.5%","145","94.8%",8,"5.2%","147","86.5%",23,"13.5%","37","74.0%",13,"26.0%","276","91.4%","26","8.6%","29","100.0%","2015","july"
